DIM1,DIM2
0.28710017,-10.365029
5.84818,-20.799475
4.3401713,-22.625763
-4.09386,-14.903413
-3.729847,-15.451398
7.642574,49.069187
6.2977786,51.645874
8.88526,44.686558
6.405996,40.571396
5.0709486,45.767754
-1.5130217,37.93379
5.6674805,48.021217
6.3242736,48.642635
-2.216024,52.534782
6.569209,41.733986
6.4247293,44.933975
5.4101243,41.015244
5.0732155,41.66843
6.3242736,48.642635
7.790153,40.47637
5.7676964,38.505936
5.673116,46.962925
5.6674805,48.021217
4.854904,39.130688
2.1986678,48.51219
5.3917794,39.90906
7.1989675,47.53483
5.4107027,41.01537
-3.9585578,32.355312
5.6674805,48.021217
4.286655,42.16874
2.2789524,50.88506
4.2495017,49.343132
-5.501297,-13.557008
-7.735337,-13.4535675
9.493789,-19.155237
-28.741476,-18.669125
-22.049904,-4.753745
31.401136,18.780811
-8.648012,-12.084033
-2.4196851,-37.482487
-9.150771,-12.144244
-2.3306062,-37.38352
-20.892998,-21.917898
-37.69916,-15.864593
-37.554005,-16.448652
-37.69916,-15.864593
2.5213902,17.674057
-37.69916,-15.864593
-21.401974,-22.075087
-36.94103,-16.037043
16.002998,22.659063
-18.694508,-11.351722
20.736593,21.398829
20.736593,21.398829
20.736593,21.398829
0.7521827,4.7905636
12.010481,-7.1313257
12.076896,-7.4874434
12.993766,-6.761308
-22.790995,-16.23607
12.01048,-7.131357
10.900678,-6.877013
-11.715733,-22.81501
-38.02714,-13.798805
-38.364784,-13.861864
-12.426501,-21.610825
-10.431603,-9.218523
-24.175173,-11.1628475
-24.130453,-11.060546
-14.124921,-20.604801
-10.430952,-9.215772
-25.799198,-9.553033
-9.738831,-34.638912
-9.295039,-35.494812
-9.6762,-35.236954
-0.93140525,2.7662485
-23.31041,-16.180561
-5.6518736,-13.533509
-3.1408012,-32.003193
-12.347396,0.9899716
-9.882599,4.198869
-13.692578,-7.965522
-12.501971,-34.59158
-15.667921,-5.9812627
-20.974174,18.833767
-8.674133,0.588478
10.545388,17.84314
-5.529535,-1.0222839
-7.093934,4.014031
-8.303719,15.186919
-5.692353,11.054522
-8.773904,15.914312
-9.74504,16.143991
-9.970413,8.81177
-8.303673,15.187474
-9.319458,7.7897167
-17.381231,-5.582008
0.9454273,4.2132297
0.20052586,4.5411506
0.91580063,4.362617
-8.461789,12.75654
-11.787601,15.292389
20.30628,-19.9755
20.30628,-19.9755
19.703821,-26.304733
13.768336,7.596065
-2.7496614,-20.556868
19.856882,-18.974165
14.626457,-26.618176
-9.0709095,-37.341057
-20.650118,-7.432505
-11.781335,-39.074352
-25.45611,-7.755591
17.897371,-11.989141
-16.093197,-16.060211
-11.928951,12.54866
-2.1082468,-34.60951
-10.175093,15.869645
3.151154,-2.6228983
-2.1706963,-20.950653
-11.14793,-37.654675
11.219592,17.961525
-15.216274,11.87802
2.1828506,19.645823
26.219688,-0.109453656
26.394629,1.2866576
27.070274,0.063798465
-16.109722,-5.9382677
-42.945515,-24.251974
-46.748253,-14.687558
-43.764893,-23.00184
-42.247833,-10.961356
-48.63094,-13.788143
-42.524162,-13.438434
-42.21141,-24.112518
-47.068794,-14.080593
-41.01271,-10.8620825
-49.180073,-14.290269
-43.223404,-22.592209
-47.805943,-13.667728
-47.441486,-16.992912
-48.127975,-16.12039
-42.932556,-9.871791
-48.02154,-14.937956
-43.40476,-11.385993
-40.105686,-19.27216
-48.02154,-14.937956
-47.06743,-15.5864105
-41.93512,-10.57509
-41.630577,-18.133028
-42.549267,-23.0223
-43.404606,-11.386062
-48.991886,-16.625862
-46.620327,-16.414965
-40.438446,-18.016975
-39.71273,-18.757256
-42.945515,-24.251974
-41.948166,-11.321699
-43.92856,-23.589636
-49.664825,-16.028257
-41.01271,-10.8620825
-43.724194,-24.195946
-41.063385,-19.17038
-48.72437,-15.868508
-47.49092,-16.160675
-40.42258,-12.121443
-41.921295,-14.79087
-41.630577,-18.133028
-42.549267,-23.0223
-41.949425,-23.512281
-41.948166,-11.321699
-48.02154,-14.937956
-49.743446,-14.917604
-43.195427,-10.096348
-40.492954,-9.373522
-40.438446,-18.016975
-40.438446,-18.016975
-40.39009,-10.044026
-46.34592,-15.425948
-41.630577,-18.133028
-41.063385,-19.17038
-40.438446,-18.016975
-49.158913,-15.297208
-41.860416,-12.097868
-41.063385,-19.17038
-48.02154,-14.937956
-43.172478,-23.46963
-41.044376,-15.781532
-48.30834,-16.99653
-44.200977,-13.8342085
-41.770485,-9.26406
-31.003736,7.350511
-4.964549,7.3957086
-7.6041274,10.693997
-4.0809207,12.330012
-15.595568,10.609552
-31.650438,7.3840156
-18.686836,10.786457
-30.65899,7.830036
-18.83979,10.269896
-15.264028,4.781759
-0.14697194,-33.356846
-6.9150624,9.974652
-30.989792,9.2432165
-11.473523,7.4647446
-20.12761,13.790757
-11.755603,9.938193
-15.884773,8.173393
-5.597027,9.762067
-16.395393,6.361179
-12.42979,5.6367335
-20.142527,13.807605
-16.791563,9.7773075
-19.763437,0.8357194
-29.986078,7.528903
-31.06314,8.971435
-7.2706857,10.373456
-31.321184,8.092515
-13.144733,9.944819
-6.228333,-30.933758
-4.304433,12.184985
-22.698957,6.055167
-29.44667,8.508688
-16.35828,6.857847
-14.04994,4.69585
-7.011967,7.500761
-9.5879545,11.517829
-15.11611,5.365226
-11.139261,6.3666887
-15.173211,13.564439
-17.59686,5.9857116
-19.300762,10.110935
-8.265546,7.3983793
8.942288,11.14355
-30.27696,8.739296
-15.478201,3.3964977
-15.757259,6.272948
8.942288,11.14355
-18.545292,1.174099
8.173978,8.470275
8.602104,8.942241
5.3701334,7.931417
9.16433,8.146226
-24.795155,8.801169
7.803501,9.374487
7.803501,9.374487
7.5174055,8.226943
-7.0465374,9.468304
8.942288,11.14355
13.112545,6.123211
8.057155,7.9180875
9.16433,8.146226
8.942288,11.14355
-4.0979686,5.9027925
8.900331,9.274069
-18.196598,1.0753586
-8.18244,11.513301
-8.302183,8.830557
7.803501,9.374487
-8.076827,9.53485
-25.840853,1.2184669
-11.515998,7.2431865
-4.986125,7.6864743
-18.915741,3.7489555
-14.602189,3.848465
-24.125198,9.519189
6.063924,9.937458
-31.56968,9.210835
-10.256216,12.128055
-7.38879,9.062747
-6.3787656,8.667528
-7.728878,9.805337
-25.588545,7.0807514
13.057633,6.4489484
-7.026783,-33.320553
-3.6205955,34.581123
-4.308916,35.894257
-3.4507945,35.724213
-2.9197776,35.550774
-3.2978325,36.31798
-7.7957296,-15.617209
-6.8074803,-34.119102
-3.209645,34.49581
-14.111134,16.103155
-3.2977016,36.31802
-4.347031,36.635777
-8.153854,-16.063421
-6.523261,-35.302235
-14.077188,16.05469
-20.697401,-7.4318547
-6.720909,-42.39321
-7.7050347,-41.94223
-5.488569,-41.643963
-8.070424,-41.653522
-26.567188,-9.834943
2.2322402,21.263342
-15.315625,-37.319103
0.5126151,-24.899857
-10.621308,9.977633
-12.394581,7.028352
20.165682,1.8351105
-8.743066,9.195786
-8.785995,9.696595
-4.142273,7.837664
-9.284045,10.304984
-15.112612,5.1236515
-6.394847,11.390842
-6.8029213,5.307428
-14.524699,12.044352
25.759884,7.0782804
28.645897,-9.623347
24.698357,2.2654116
29.668425,-5.8888206
14.567359,-9.975402
17.854324,-6.463865
28.954449,-9.232486
20.331402,-6.9684377
31.660955,8.036087
23.93185,-4.8538504
19.045061,-8.370703
18.53975,6.0793176
19.901161,-7.2390246
23.481628,1.9745027
33.637646,5.7288733
25.103373,-9.477789
23.697256,3.0333412
21.859829,3.216529
24.850512,-4.9295325
32.410862,8.676953
29.791336,7.136231
23.736347,-5.96368
28.433382,7.862211
22.22551,1.1486453
23.87136,-7.1559415
21.669363,1.682503
31.041454,9.007634
19.570166,-6.541254
26.54306,-5.822362
23.662228,1.3071886
23.17567,-5.85509
26.25933,8.135074
23.373703,-3.6861575
27.835953,9.602055
25.103373,-9.477789
26.517582,7.6120853
22.3364,-6.773125
24.89861,-7.4585094
19.9324,3.5992317
23.307543,3.968916
29.420029,8.503756
22.956009,1.1256733
23.106068,2.5091746
30.000881,6.244478
22.513456,2.833341
24.083557,3.705211
24.440613,-4.459049
26.755476,-4.585965
22.606182,-5.3649764
19.983576,-6.1508465
22.03236,-3.177241
29.592257,-3.8918674
15.538384,-9.405419
29.671139,-3.827964
24.335127,1.5673882
18.45146,-5.759155
18.96073,-5.2409616
31.75065,9.361986
25.245441,-4.409408
23.064857,3.2859287
24.42885,-9.761537
28.43546,7.862319
29.605581,-9.200359
28.43545,7.8623114
24.8511,-3.8152206
29.095097,-5.2491503
24.889956,-5.846941
21.102024,-4.018892
23.341984,-5.2224045
34.078785,5.266154
22.768847,1.8227513
22.30488,-8.824629
15.555169,-9.418186
22.245491,2.1825223
22.560389,-4.724956
19.40226,-7.019686
17.852184,-5.0392165
22.865366,-8.2806425
15.743426,-9.364734
26.551517,-7.3298826
28.493872,3.8078713
30.117994,5.4416065
28.954412,-9.232257
22.874237,-4.1526976
24.577133,3.0801027
26.127235,-3.2991753
20.349937,-6.426548
27.668453,5.5976872
31.47873,9.067645
28.005682,3.7282832
26.937048,3.6044028
24.189661,-5.3454823
20.719683,-8.441483
23.977383,2.4122367
23.395428,-4.5514402
25.116861,-2.3285816
23.155016,-2.4828541
28.362978,8.466403
8.330479,-13.239312
29.095379,-5.2482395
32.648163,7.117172
27.512186,-3.121962
25.2593,-5.287381
22.458242,3.7265608
26.551517,-7.3298826
24.183771,-3.448407
23.967402,-4.0159044
24.34544,-6.0459895
19.351645,-4.259807
21.56814,2.5438364
28.385145,4.2406077
33.874317,5.4673157
8.210856,-5.758799
15.876563,21.819593
-22.256102,-22.450274
2.793461,20.26158
-8.68225,-7.797109
6.8078046,22.532785
-14.660935,-5.087739
6.8078046,22.532785
-19.001266,-4.9157553
5.7559385,21.948757
6.8078046,22.532785
6.8078046,22.532785
6.8078046,22.532785
7.020529,21.769356
-18.454533,-3.339314
-5.726321,-19.579035
-7.7927413,-37.19197
-12.14646,-15.751464
-5.558197,-33.612293
2.227679,19.615265
-7.8273315,-36.819565
-8.553692,-12.061109
-3.761152,-16.029655
5.582939,18.399193
5.373872,18.584494
5.373872,18.584494
-3.1012726,-31.96582
-6.256767,-41.785286
-8.027085,-35.794193
-7.326037,-10.140929
13.423982,6.28592
-1.5556418,-16.78517
18.729626,-0.5890187
18.75055,-0.58720374
16.100048,-17.12867
16.065203,-17.128345
11.411032,17.891754
-22.340202,-21.154257
-9.566559,-41.845013
-20.422493,-11.388613
-2.1935742,-10.618234
-19.4135,-20.633625
-10.190881,-41.737747
-4.643403,-42.35275
-10.617517,-33.30127
-10.122761,-33.435566
-19.934158,-22.985935
-19.003548,-4.8868847
-21.549389,-21.92097
-18.154034,-6.4107256
-18.144934,-6.415021
-26.947323,-18.677412
-19.111677,-4.2824864
-26.992222,-18.6771
-10.854387,-17.678036
-10.840384,-17.640898
-11.682362,-17.651686
16.914852,15.2808275
21.02085,14.51549
20.761528,14.300619
21.910877,12.681781
21.219452,9.854835
16.787264,14.851707
16.961786,15.286311
21.871141,12.886004
19.701408,10.366375
22.657745,13.733562
20.256153,12.441975
22.026707,10.844545
19.858131,9.821197
22.658146,13.732986
20.373384,10.684164
0.30387512,49.084793
3.6914601,46.337486
12.224246,44.35874
12.505562,52.24929
1.3470271,50.461864
-5.069451,44.98769
4.804583,49.25686
-1.1566129,47.249798
-4.564883,47.11927
1.7771218,46.159008
20.898943,12.998648
-6.488245,44.97115
21.219452,9.854835
18.58799,14.561759
20.898943,12.998648
-5.0185513,46.10021
4.4693866,49.924156
20.898943,12.998648
17.34247,15.0404625
-4.1102414,42.84436
-4.564883,47.11927
-2.1148186,41.441715
12.224246,44.35874
-3.203801,51.569714
-7.4937162,45.850418
-7.651524,47.515625
-7.016302,43.795937
-6.5585313,45.499672
-3.3907707,47.45696
-4.87355,47.76568
-1.5433878,43.154827
1.335806,43.589214
1.884127,41.124153
-3.9025588,45.890846
-3.8077316,51.464264
11.992513,52.582146
-5.9992075,44.12172
11.992513,52.582146
5.037886,50.29051
-2.362595,45.278114
6.7948847,56.148663
-6.2769985,43.903996
11.992513,52.582146
-5.635973,47.516407
-3.9785163,51.146175
-6.664994,43.05979
6.771992,46.752636
-3.5975497,43.439293
-7.1319494,44.868313
12.224246,44.35874
4.136939,42.00406
8.098472,46.772717
-4.9488664,47.712536
-6.2353544,46.58257
7.510582,54.89416
-4.70319,42.929054
-1.6019696,45.112404
7.460037,56.32869
3.5460088,48.818935
-0.3979316,46.679073
7.9903083,55.956913
-3.5853014,51.95281
6.5337877,55.575302
-0.022049574,49.04785
3.277036,51.986244
6.771992,46.752636
-5.3723764,41.589798
3.816705,50.418533
1.5308189,40.420982
1.1840969,41.826424
6.2229304,39.780968
-0.18646672,45.133755
-7.6220336,47.51787
-0.18646672,45.133755
-2.7490332,42.592003
9.751904,49.01809
3.3705416,46.755108
-3.9670746,44.155956
11.994491,51.966564
6.3472977,50.39881
9.75172,49.01776
-2.5281017,52.71265
4.1760902,39.94725
-8.106375,44.634678
6.719226,54.999775
7.2954826,55.668217
1.8566236,46.792988
2.9855053,49.706112
3.2771945,51.98663
8.158675,55.35579
-4.9897532,42.095993
-2.7490332,42.592003
-0.3274577,46.60064
-7.778337,45.820087
7.510582,54.89416
16.502821,23.226442
-6.4944067,-36.658215
-7.2326965,-10.216626
-5.835918,-36.878635
-9.185332,-36.225925
-16.071726,-11.737247
-16.012463,-11.512005
-16.048975,-11.294695
-4.815671,-35.715725
24.369741,6.309026
-6.9877124,-43.50575
-20.005892,16.924732
-38.9604,-14.464281
-4.5462475,35.141293
7.1940136,8.731544
12.243549,16.28972
12.306025,16.201674
-12.971878,-7.1461315
-0.17430073,3.6739867
-0.5167003,3.7448227
-5.755325,-19.581104
-20.983948,19.05229
-7.3496695,-11.205504
-10.802937,-21.174356
-11.860737,-21.968231
-20.564964,16.514757
-21.234787,-22.980831
-4.7535224,-42.9155
-7.310044,-41.041203
-8.884184,-40.622177
-11.571094,-39.289463
-7.82131,-34.77801
-7.384681,-34.830257
-11.710237,-23.648623
-6.6395893,-36.18236
-11.521715,-31.852638
-21.028944,-1.1061072
0.60090387,-10.526222
-21.948229,-23.671734
-17.874239,-10.529729
-7.0056396,-37.77712
-6.5079393,-40.095425
-4.0097494,-37.349133
-9.672348,-32.505512
-7.9505568,-42.89306
-6.0585876,-40.296566
-6.2114825,-40.083923
-7.881636,-42.878906
-12.662208,-39.365536
-12.67015,0.18001159
6.4564376,0.22187185
-2.4191241,-38.411804
-3.160956,-37.889034
-2.7982495,-37.869865
2.1749942,21.462711
-7.2459497,-41.61376
-7.749982,-40.35132
-5.4307637,-43.079468
-4.706243,-42.936676
-11.229434,-34.057575
-18.752998,16.372952
0.78129846,-8.002668
7.6858478,-21.34555
-0.009178096,51.267265
2.1729035,-10.584732
7.4034433,-22.75521
-3.9739761,-1.0111754
7.6858478,-21.34555
13.423982,6.28592
-21.90857,23.362392
1.4546531,-9.597418
0.10350183,-11.825657
-2.000401,7.074432
-0.6197285,-10.66822
2.4066083,-10.061295
12.09362,4.745003
4.936336,-23.525599
-0.15196055,-32.76831
-1.9746579,-35.256
32.239258,17.727922
8.555689,-22.524136
-3.1538486,-1.3680775
32.239258,17.727922
-3.0697718,-1.3580447
32.239258,17.727922
2.3792865,-9.838233
6.659156,-22.317259
1.5006152,-9.090436
32.239258,17.727922
17.890934,-13.655777
-7.7538056,5.5068254
32.239258,17.727922
-2.9888368,-2.0250926
33.11304,-1.6722077
34.73874,-2.316862
34.792248,-1.0062824
34.792313,-1.0061619
36.117916,-0.8570041
33.10554,-1.1890609
35.34753,-1.5590136
32.239258,17.727922
35.199764,-0.2600286
34.26249,-1.1913803
34.223232,0.15311618
-21.372099,1.630366
-24.705807,0.58381736
-16.479422,21.470062
-24.706224,0.5863952
-17.37183,21.023638
23.250246,-25.610182
28.72581,-17.962885
-11.544884,-14.450204
16.862452,-22.64924
-10.022407,13.643483
14.623668,-25.440468
27.262375,-21.184956
23.535843,-17.982967
-8.334454,10.398967
27.009266,-20.617485
27.222183,-27.111032
0.50918156,-25.073822
-8.334454,10.398967
30.116787,-25.346594
21.672062,-11.787417
27.638372,-19.967144
26.547083,-19.69284
-4.2643847,-19.267921
27.674288,-19.331455
14.734514,-23.621788
25.571667,-17.982407
19.159866,-12.093266
14.921905,-23.284441
30.6286,-24.395075
14.910938,-23.304136
13.14564,-1.8304267
14.346756,-2.6771572
-12.459499,12.716645
16.616293,-13.695291
-5.6979213,14.223701
13.613634,-2.4892623
-9.54629,-5.2484055
23.000277,-0.47236547
-11.905465,-17.22358
-6.177955,-31.995583
21.245699,4.625459
-12.822011,15.0949135
6.8408318,-12.845474
6.8408318,-12.845474
6.8408318,-12.845474
-13.607626,10.953765
-19.589197,-18.98752
17.486168,7.151927
8.357062,51.471756
-28.018265,-7.1185827
-28.018265,-7.1185827
-28.218664,-6.609448
-28.461304,-7.1032434
21.632784,-18.269339
34.74638,-9.743867
35.31341,-9.13121
20.501945,-25.326155
20.501945,-25.326155
20.501945,-25.326155
20.501945,-25.326155
21.774809,-26.394869
22.034441,-24.685867
19.601278,-22.403801
20.070274,-22.068665
4.441263,53.146435
22.03514,-24.68632
5.5691695,40.51404
3.5814285,49.3236
1.6341189,58.56054
1.2953582,58.756863
1.4659165,58.666943
5.089612,51.79003
-29.278427,-6.053421
-27.877127,-6.6452026
-14.741729,-27.099844
42.789974,-5.634578
1.3862146,52.50697
21.708075,-22.545908
30.805176,-24.333406
20.36594,-21.700123
23.594145,-23.535156
-29.920284,-5.7653503
22.457747,-21.379969
21.092735,-22.496662
5.174883,49.71562
34.179775,-10.261759
34.74638,-9.743867
1.5298848,54.747807
1.2791094,57.311043
0.52608037,58.04719
29.9139,-0.38267097
29.359913,-0.06965484
29.891245,-0.3732103
0.7007678,57.295746
0.7007678,57.295746
1.0622021,56.724884
20.114534,-13.992736
4.4406323,50.572258
14.754864,1.8032548
14.753887,1.8065546
-8.668669,-31.607391
35.79775,-8.673205
4.283904,48.791355
